date,ticker,rank,momentum_score,themes,forward_return,verdict,confidence,reasoning,llm_cost,llm_latency_sec
2023-07-03,IREN,1,1.0,ai,0.18771331058020468,accept,0.9,"IREN is a publicly traded Bitcoin mining company with a clear business model, sufficient market capitalization, and active trading, making it suitable for LLM analysis within the specified parameters.",3.75e-05,5.336638792185113
2023-07-03,ACMR,2,0.9205716685608907,quantum,-0.050468637346791634,accept,0.9,"The company has a coherent business model in semiconductor equipment, a sensible market capitalization, and sufficient trading history and fundamental context for LLM analysis.",3.75e-05,3.9365519580896944
2023-07-03,JOBY,3,0.8610173060504694,ai,-0.020579981290925975,accept,0.9,"JOBY has a well-defined, actively traded business model with sufficient market presence and available fundamental context for LLM analysis.",3.75e-05,5.5599486250430346
2023-07-03,MARA,4,0.8458222956751037,ai,0.08354755784061685,accept,0.9,"MARA is a well-known, actively traded company with a clear business model and sufficient market context for deep LLM analysis.",3.75e-05,4.644035500008613
2023-07-03,HUT,5,0.8420576853569145,ai,0.024590163934426146,accept,0.9,"Hut 8 has a coherent, well-known business model in cryptocurrency mining with sufficient market capitalization and trading activity for LLM analysis.",3.75e-05,5.673537624999881
2023-07-05,HUT,1,0.9,ai,0.24860335195530747,accept,0.9,"Hut 8 Mining Corp has a well-known business model, a sensible market capitalization, active trading, and ample fundamental context for deep LLM analysis.",3.75e-05,4.692512208828703
2023-07-05,IREN,2,0.9,ai,0.27257799671592786,accept,0.85,"Iris Energy has a clear business model, sufficient trading history and liquidity, and available fundamental context for LLM analysis.",3.75e-05,7.6294473328161985
2023-07-05,IONQ,3,0.8500538172859983,quantum,0.08803611738149009,accept,0.9,"IONQ has a well-defined, actively traded business model within a sensible market cap range, with ample fundamental data for LLM analysis.",3.75e-05,4.01643033279106
2023-07-05,JOBY,4,0.8388495902808463,ai,0.14038876889848817,accept,0.9,"Joby Aviation has a coherent, well-known business model in an emerging sector, sufficient market capitalization and trading history, and ample fundamental context for LLM analysis.",3.75e-05,4.830169583903626
2023-07-05,MARA,5,0.8229588977702834,ai,0.25979112271540483,accept,0.9,"Marathon Digital Holdings has a well-defined business model, active trading, and ample fundamental data, making it suitable for deep LLM analysis.",3.75e-05,4.106963917147368
2023-07-06,HUT,1,0.8920799316335093,ai,0.09473684210526323,accept,0.9,"Hut 8 Mining has a clear business model, sensible market capitalization, active trading, and sufficient fundamental context for LLM analysis.",3.75e-05,3.2068298750091344
2023-07-06,JOBY,2,0.8866230121608981,ai,0.032494758909853205,accept,0.9,"JOBY has a clear, emerging business model, a sensible market capitalization, and sufficient trading history and fundamental context for LLM analysis.",3.75e-05,3.8031782920006663
2023-07-06,IREN,3,0.8626349290251475,ai,0.0704647676161918,accept,0.8,"Iris Energy has a coherent business model as a Bitcoin miner, sufficient trading history, and likely adequate fundamental context for LLM analysis, despite its market capitalization being at the lower end of the preferred range.",3.75e-05,5.529512583045289
2023-07-06,MARA,4,0.8420934998540721,ai,0.15315890236119967,accept,0.9,"Marathon Digital Holdings has a well-known business model, sensible market capitalization, active trading, and ample fundamental context for LLM analysis.",3.75e-05,3.984048208920285
2023-07-06,ACMR,5,0.7996626436593047,quantum,-0.0052238805970149516,accept,0.9,"ACMR has a well-established semiconductor equipment business, appropriate market capitalization, active trading, and sufficient fundamental context for deep LLM analysis.",3.75e-05,3.942108124960214
2023-07-07,HUT,1,1.0,ai,-0.027918781725888353,accept,0.8,"Hut 8 Mining has a coherent business model as a cryptocurrency miner, sufficient market capitalization and liquidity, and ample public information for LLM analysis.",3.75e-05,4.431581208016723
2023-07-07,IREN,2,1.0,ai,-0.0028368794326240065,accept,0.8,"Iris Energy has a coherent Bitcoin mining business model, sufficient trading history and fundamental context for LLM analysis, and its market capitalization is generally above micro-cap thresholds.",3.75e-05,6.102089625084773
2023-07-07,RIOT,3,0.9151580617856789,ai,0.09608540925266906,accept,0.9,"RIOT has a well-known business model, sensible market capitalization, active trading, and ample fundamental context for LLM analysis.",3.75e-05,3.698801667196676
2023-07-07,MARA,4,0.8984219466575415,ai,0.02009456264775422,accept,0.9,"MARA has a well-known business model as a Bitcoin miner, a sensible market capitalization, active trading, and ample fundamental context for LLM analysis.",3.75e-05,4.022728791926056
2023-07-07,JOBY,5,0.8110740532649591,ai,0.0009823182711197198,accept,0.9,"JOBY has a coherent, well-known business model in an emerging sector, a sensible market capitalization, and sufficient trading history and public information for LLM analysis.",3.75e-05,4.7824101250153035
2023-07-10,IREN,1,1.0,ai,-0.004444444444444473,uncertain,0.7,"While IREN has a coherent business model and strong momentum, its market capitalization is below the preferred $500M threshold for sensible size, introducing some uncertainty regarding its suitability for deep LLM analysis.",3.75e-05,6.818734999978915
2023-07-10,RIOT,2,0.927322096244297,ai,0.04397487150199875,accept,0.9,"RIOT has a coherent business model as a Bitcoin mining company, a sensible market capitalization, active trading volume, and sufficient fundamental context for LLM analysis.",3.75e-05,4.539972667116672
2023-07-10,HUT,3,0.9,ai,0.01333333333333342,accept,0.9,"Hut 8 Mining has a well-defined business model, appropriate market capitalization, and sufficient public trading history and fundamental context for LLM analysis.",3.75e-05,4.038228125078604
2023-07-10,MARA,4,0.8583344455342682,ai,-0.03335250143760793,accept,0.9,"MARA has a well-known business model, sufficient market capitalization, active trading, and ample fundamental context for deep LLM analysis.",3.75e-05,5.067632750142366
2023-07-10,UPST,5,0.8436345566433118,ai,0.2514497796334958,accept,0.9,"Upstart (UPST) is an actively traded, mid-cap AI lending platform with a well-known business model and ample fundamental data for deep LLM analysis.",3.75e-05,5.172964750090614
2023-07-11,RKLB,1,0.9342992756218007,ai,0.3064250411861613,accept,0.9,"Rocket Lab has a clear business model, sufficient market capitalization and trading history, and ample fundamental context for LLM analysis.",3.75e-05,3.5500154169276357
2023-07-11,RIOT,2,0.9212167618427904,ai,0.07252124645892355,accept,0.9,"RIOT is a well-known, actively traded company with a clear business model (Bitcoin mining), sufficient market capitalization, and ample fundamental data for LLM analysis.",3.75e-05,4.160781458951533
2023-07-11,UPST,3,0.9,ai,0.32486388384754994,accept,0.9,"Upstart has a well-defined AI lending business model, sufficient market capitalization, active trading, and ample fundamental data for deep LLM analysis.",3.75e-05,3.873163958080113
2023-07-11,HUT,4,0.8951776649746194,ai,0.01866666666666683,accept,0.9,"Hut 8 Mining Corp has a coherent business model, sensible market capitalization, active trading, and ample fundamental context for LLM analysis.",3.75e-05,4.706640499876812
2023-07-11,IONQ,5,0.8065016164299547,quantum,0.05434782608695654,accept,0.9,"IONQ has a coherent business model in quantum computing, a sensible market capitalization, active trading, and sufficient fundamental context for LLM analysis.",3.75e-05,3.3984843341168016
2023-07-12,RXRX,1,0.9102130222641205,ai,0.1909931644551668,accept,0.9,"RXRX is a well-known biotech company with a coherent AI-driven business model, sensible market capitalization, active trading, and ample fundamental context for LLM analysis.",3.75e-05,3.7381056658923626
2023-07-12,RIOT,2,0.8216294701960792,ai,-0.08969935929029083,accept,0.9,"Riot Platforms (RIOT) is an established, actively traded company with a clear business model, sufficient market capitalization, and ample fundamental context for LLM analysis.",3.75e-05,22.430531250080094
2023-07-12,HUT,3,0.7951116062002727,ai,-0.1923937360178971,accept,0.85,"HUT 8 Mining has a well-defined business model, sufficient market capitalization and liquidity, and ample public data for LLM analysis.",3.75e-05,6.096958625130355
2023-07-12,IONQ,4,0.7936466909985666,quantum,0.03181189488243419,accept,0.9,"IONQ has a well-defined, actively traded business model within a sensible market cap range, supported by ample fundamental context for LLM analysis.",3.75e-05,3.9723048750311136
2023-07-12,UPST,5,0.7913560198494246,ai,0.16856540084388194,accept,0.9,"Upstart has a well-known AI-driven lending business model, a sensible market capitalization, active trading, and ample fundamental context for deep LLM analysis.",3.75e-05,3.10204558307305
2023-07-13,CIFR,1,0.9640157888292973,ai,-0.11608961303462328,accept,0.9,"CIFR has a coherent business model, a sensible market capitalization, active trading, and sufficient fundamental context for deep LLM analysis.",3.75e-05,4.2927927079144865
2023-07-13,RIOT,2,0.9497686146813198,ai,-0.03870292887029303,accept,0.9,"RIOT is a well-known, actively traded company with sufficient market capitalization and available fundamental context for deep LLM analysis, despite its volatile nature and potential short interest.",3.75e-05,4.87469791690819
2023-07-13,HUT,3,0.9404516347376193,ai,-0.12740384615384626,accept,0.9,"Hut 8 Mining Corp. has a coherent and well-known business model, sensible market capitalization, and active trading history, making it suitable for LLM analysis.",3.75e-05,4.140307999914512
